id,title,url,registry_type,source_type,section,tags,date,geography,topic_group,used_in_data_hub_catalogue,used_in_research_catalogue,used_in_policy_catalogue,used_in_grounded_qa,valid_url,notes
data-hub-access-to-key-services-in-the-greater-west-of-england-schools-town-centres-and-hospitals-2019,"Access to key services in the Greater West of England: schools, town centres and hospitals, 2019",https://www.thebrunelcentre.co.uk/data-hub/access-to-key-services-in-the-greater-west-of-england-schools-town-centres-and-hospitals-2019,webpage,dataHubPost,data-hub,data-hub|transport|infrastructure,,Greater West of England,Transport and infrastructure,yes,no,no,yes,yes,
data-hub-child-poverty-after-housing-costs-in-the-west-of-england-area-2023-24,"Child poverty after housing costs in the West of England area, 2023/24",https://www.thebrunelcentre.co.uk/data-hub/child-poverty-after-housing-costs-in-the-west-of-england-area-2023-24,webpage,dataHubPost,data-hub,data-hub|inequality|population,,West of England,Housing,yes,no,no,yes,yes,
data-hub-additional-regional-data-on-child-poverty-in-the-south-west-of-england,Additional regional data on child poverty in the South West of England,https://www.thebrunelcentre.co.uk/data-hub/additional-regional-data-on-child-poverty-in-the-south-west-of-england,webpage,dataHubPost,data-hub,data-hub|inequality|population,,West of England,Health and population,yes,no,no,yes,yes,
data-hub-additional-local-detail-in-the-greater-west-of-england-2023-24,"Additional local detail in the Greater West of England, 2023/24",https://www.thebrunelcentre.co.uk/data-hub/additional-local-detail-in-the-greater-west-of-england-2023-24,webpage,dataHubPost,data-hub,data-hub|inequality|population,,Greater West of England,Health and population,yes,no,no,yes,yes,
data-hub-population-change-comparisons-in-the-greater-west-of-england-1991–2024,"Population change comparisons in the Greater West of England, 1991–2024",https://www.thebrunelcentre.co.uk/data-hub/population-change-comparisons-in-the-greater-west-of-england-1991%E2%80%932024,webpage,dataHubPost,data-hub,data-hub|population,,Greater West of England,Health and population,yes,no,no,yes,yes,
data-hub-training-and-workforce-development-in-the-south-west-of-england,Training and workforce development in the South West of England,https://www.thebrunelcentre.co.uk/data-hub/training-and-workforce-development-in-the-south-west-of-england,webpage,dataHubPost,data-hub,data-hub|skills|economy,,West of England,Employment and skills,yes,no,no,yes,yes,
data-hub-employer-training-activity-in-the-south-west-of-england,Employer training activity in the South West of England,https://www.thebrunelcentre.co.uk/data-hub/employer-training-activity-in-the-south-west-of-england,webpage,dataHubPost,data-hub,data-hub|skills|economy,,West of England,Employment and skills,yes,no,no,yes,yes,
data-hub-employment-rates-in-the-greater-west-of-england-compared-to-other-uk-regions,Employment rates in the Greater West of England compared to other UK regions,https://www.thebrunelcentre.co.uk/data-hub/employment-rates-in-the-greater-west-of-england-compared-to-other-uk-regions,webpage,dataHubPost,data-hub,data-hub|employment,,Greater West of England,Employment and skills,yes,no,no,yes,yes,
data-hub-employment-rates-in-the-greater-west-of-england-by-sex-and-age-2025,"Employment rates in the Greater West of England by sex and age, 2025",https://www.thebrunelcentre.co.uk/data-hub/employment-rates-in-the-greater-west-of-england-by-sex-and-age-2025,webpage,dataHubPost,data-hub,data-hub|employment,,Greater West of England,Employment and skills,yes,no,no,yes,yes,
data-hub-annual-change-in-greenhouse-gas-emissions-in-the-greater-west-of-england-2022–2023,"Annual change in greenhouse gas emissions in the Greater West of England, 2022–2023",https://www.thebrunelcentre.co.uk/data-hub/annual-change-in-greenhouse-gas-emissions-in-the-greater-west-of-england-2022%E2%80%932023,webpage,dataHubPost,data-hub,data-hub|environment|sustainability,,Greater West of England,Environment and sustainability,yes,no,no,yes,yes,
