slug,public_post_title,public_post_url,category,topic_family,github_path,zip_folder,workbook_count_for_post,matched_workbook_count_for_post,folder_match_warning,workbook_path,workbook_file_name,sheets_detected,analysis_sheet_exists,chosen_analysis_sheet,raw_sheets_exist,raw_sheet_names,candidate_source_data_sheet_names,detailed_source_data_sheets_exist,detailed_source_data_sheet_names,excluded_non_data_sheets,metadata_sheets,raw_sheet_structure,source_data_sheet_structure,key_columns,available_measure_types,supported_breakdowns,counts_available,numerators_denominators_available,confidence_intervals_available,current_parser_can_ingest,limitations_or_warnings
employer-training-activity-in-the-south-west-of-england,Employer training activity in the South West of England,https://www.thebrunelcentre.co.uk/data-hub/employer-training-activity-in-the-south-west-of-england,labour-market,employment/labour market; business/industry,data/labour-market/Employer training activity,Datahub-data-main/data/labour-market/Employer training activity,3,3,,"Datahub-data-main/data/labour-market/Employer training activity/Establishments providing staff training (%) by industry in the South West, 2023-24.xlsx","Establishments providing staff training (%) by industry in the South West, 2023-24.xlsx",Metadata; Analysis,yes,Analysis,no,,,no,,,Metadata,none detected,none detected,'; South West region establishments with any training in previous 12 months (%) '24,rates/percentages/proportions,local authority/geography; sector/industry; qualification/skills; time/year,no/unclear from sampled headers,no/unclear from sampled headers,no/unclear from sampled headers,not applicable for raw facts - no detailed/source-data sheet detected; analysis rows still ingest,"No detailed/source-data sheet detected; deeper calculation must rely on article/analysis rows or another source. Rates/ratios appear available, but sampled headers do not show counts or denominators."
employer-training-activity-in-the-south-west-of-england,Employer training activity in the South West of England,https://www.thebrunelcentre.co.uk/data-hub/employer-training-activity-in-the-south-west-of-england,labour-market,employment/labour market,data/labour-market/Employer training activity,Datahub-data-main/data/labour-market/Employer training activity,3,3,,"Datahub-data-main/data/labour-market/Employer training activity/Establishments providing staff training (%) by type in the South West, 2023-24.xlsx","Establishments providing staff training (%) by type in the South West, 2023-24.xlsx",Metadata; Analysis,yes,Analysis,no,,,no,,,Metadata,none detected,none detected,'; Training types (% of all South West establishments providing training) '24; Space,rates/percentages/proportions,qualification/skills,no/unclear from sampled headers,no/unclear from sampled headers,no/unclear from sampled headers,not applicable for raw facts - no detailed/source-data sheet detected; analysis rows still ingest,"No detailed/source-data sheet detected; deeper calculation must rely on article/analysis rows or another source. Rates/ratios appear available, but sampled headers do not show counts or denominators."
employer-training-activity-in-the-south-west-of-england,Employer training activity in the South West of England,https://www.thebrunelcentre.co.uk/data-hub/employer-training-activity-in-the-south-west-of-england,labour-market,employment/labour market; business/industry,data/labour-market/Employer training activity,Datahub-data-main/data/labour-market/Employer training activity,3,3,,"Datahub-data-main/data/labour-market/Employer training activity/Number of training days per employee and trainee in the South West, by industry, 2023-24.xlsx","Number of training days per employee and trainee in the South West, by industry, 2023-24.xlsx",Metadata; Analysis,yes,Analysis,no,,,no,,,Metadata,none detected,none detected,'; Average number of days training per employee '24; Average number of days training per trainee '24; Space,counts/numbers,age; sector/industry; qualification/skills,yes,no/unclear from sampled headers,no/unclear from sampled headers,not applicable for raw facts - no detailed/source-data sheet detected; analysis rows still ingest,"No detailed/source-data sheet detected; deeper calculation must rely on article/analysis rows or another source. Counts/totals appear available, but numerator/denominator pairs are not clearly labelled in sampled headers."
employment-rates-in-the-greater-west-of-england-compared-to-other-uk-regions,Employment rates in the Greater West of England compared to other UK regions,https://www.thebrunelcentre.co.uk/data-hub/employment-rates-in-the-greater-west-of-england-compared-to-other-uk-regions,labour-market,employment/labour market,data/labour-market/Employment rates in the Greater West of England compared to other UK regions,Datahub-data-main/data/labour-market/Employment rates in the Greater West of England compared to other UK regions,4,4,,"Datahub-data-main/data/labour-market/Employment rates in the Greater West of England compared to other UK regions/Employment Rates across the Greater West of England, Combined Authority Areas and the UK.xlsx","Employment Rates across the Greater West of England, Combined Authority Areas and the UK.xlsx",Metadata; raw_data; analysis_data,yes,analysis_data,yes,raw_data,,yes,raw_data,,Metadata,tabular_measure_columns (geography plus measure/value columns),tabular_measure_columns (geography plus measure/value columns),Area; Employment rate - aged 16-64 (percent); Employment rate - aged 16-64,rates/percentages/proportions,local authority/geography; age,no/unclear from sampled headers,no/unclear from sampled headers,no/unclear from sampled headers,fallback - searchable source-row snippets should ingest; targeted parser needed for structured calculations,"Detailed/source-data sheet 'raw_data' is tabular_measure_columns (geography plus measure/value columns); it should ingest as searchable row snippets, but targeted parsing is still needed for structured calculations. Rates/ratios appear available, but sampled headers do not show counts or denominators."
employment-rates-in-the-greater-west-of-england-compared-to-other-uk-regions,Employment rates in the Greater West of England compared to other UK regions,https://www.thebrunelcentre.co.uk/data-hub/employment-rates-in-the-greater-west-of-england-compared-to-other-uk-regions,labour-market,employment/labour market,data/labour-market/Employment rates in the Greater West of England compared to other UK regions,Datahub-data-main/data/labour-market/Employment rates in the Greater West of England compared to other UK regions,4,4,,"Datahub-data-main/data/labour-market/Employment rates in the Greater West of England compared to other UK regions/Employment rates in the Greater West of England by constituency, 2025 .xlsx","Employment rates in the Greater West of England by constituency, 2025 .xlsx",Metadata; raw_data; analysis_data,yes,analysis_data,yes,raw_data,,yes,raw_data,,Metadata,tabular_unknown_structure,tabular_unknown_structure,Westminster Parliamentary Constituency (July 2024); percentage of Employment rate - aged 16-64; numerator; denominator; percent; conf,rates/percentages/proportions; numerators; denominators/base,age,no/unclear from sampled headers,yes,no/unclear from sampled headers,fallback - searchable source-row snippets should ingest; targeted parser needed for structured calculations,"Detailed/source-data sheet 'raw_data' is tabular_unknown_structure; it should ingest as searchable row snippets, but targeted parsing is still needed for structured calculations. Rates/ratios appear available, but sampled headers do not show counts or denominators."
employment-rates-in-the-greater-west-of-england-compared-to-other-uk-regions,Employment rates in the Greater West of England compared to other UK regions,https://www.thebrunelcentre.co.uk/data-hub/employment-rates-in-the-greater-west-of-england-compared-to-other-uk-regions,labour-market,employment/labour market,data/labour-market/Employment rates in the Greater West of England compared to other UK regions,Datahub-data-main/data/labour-market/Employment rates in the Greater West of England compared to other UK regions,4,4,,"Datahub-data-main/data/labour-market/Employment rates in the Greater West of England compared to other UK regions/Employment rates in the Greater West of England by local authority, 2025.xlsx","Employment rates in the Greater West of England by local authority, 2025.xlsx",Metadata; raw_data; analysis_data,yes,analysis_data,yes,raw_data,,yes,raw_data,,Metadata,tabular_measure_columns (geography plus measure/value columns),tabular_measure_columns (geography plus measure/value columns),Area; Employment rate - aged 16-64 percent; Employment rate - aged 16-64,rates/percentages/proportions,local authority/geography; age,no/unclear from sampled headers,no/unclear from sampled headers,no/unclear from sampled headers,fallback - searchable source-row snippets should ingest; targeted parser needed for structured calculations,"Detailed/source-data sheet 'raw_data' is tabular_measure_columns (geography plus measure/value columns); it should ingest as searchable row snippets, but targeted parsing is still needed for structured calculations. Rates/ratios appear available, but sampled headers do not show counts or denominators."
employment-rates-in-the-greater-west-of-england-compared-to-other-uk-regions,Employment rates in the Greater West of England compared to other UK regions,https://www.thebrunelcentre.co.uk/data-hub/employment-rates-in-the-greater-west-of-england-compared-to-other-uk-regions,labour-market,employment/labour market,data/labour-market/Employment rates in the Greater West of England compared to other UK regions,Datahub-data-main/data/labour-market/Employment rates in the Greater West of England compared to other UK regions,4,4,,"Datahub-data-main/data/labour-market/Employment rates in the Greater West of England compared to other UK regions/Trends in the Greater West of England employment rate, 2005-2025.xlsx","Trends in the Greater West of England employment rate, 2005-2025.xlsx",Metadata; raw_data; analysis_data,yes,analysis_data,yes,raw_data,,yes,raw_data,,Metadata,tabular_unknown_structure,tabular_unknown_structure,Date; Geography; Percent; numerator; denominator; conf,rates/percentages/proportions; numerators; denominators/base; time-series values,local authority/geography; time/year,no/unclear from sampled headers,yes,no/unclear from sampled headers,fallback - searchable source-row snippets should ingest; targeted parser needed for structured calculations,"Detailed/source-data sheet 'raw_data' is tabular_unknown_structure; it should ingest as searchable row snippets, but targeted parsing is still needed for structured calculations. Rates/ratios appear available, but sampled headers do not show counts or denominators."
employment-rates-in-the-greater-west-of-england-by-sex-and-age-2025,"Employment rates in the Greater West of England by sex and age, 2025",https://www.thebrunelcentre.co.uk/data-hub/employment-rates-in-the-greater-west-of-england-by-sex-and-age-2025,labour-market,employment/labour market; population,"data/labour-market/Employment rates in the Greater West of England by sex and age, 2025","Datahub-data-main/data/labour-market/Employment rates in the Greater West of England by sex and age, 2025",4,4,,"Datahub-data-main/data/labour-market/Employment rates in the Greater West of England by sex and age, 2025/Employment rate in the Greater West of England by sex and age, 2025.xlsx","Employment rate in the Greater West of England by sex and age, 2025.xlsx",Metadata; raw_data; analysis_data,yes,analysis_data,yes,raw_data,,yes,raw_data,,Metadata,tabular_unknown_structure,tabular_unknown_structure,sex_and_age_group; geography; percent; numerator; denominator; conf,rates/percentages/proportions; numerators; denominators/base,age; sex/gender; local authority/geography,no/unclear from sampled headers,yes,no/unclear from sampled headers,fallback - searchable source-row snippets should ingest; targeted parser needed for structured calculations,"Detailed/source-data sheet 'raw_data' is tabular_unknown_structure; it should ingest as searchable row snippets, but targeted parsing is still needed for structured calculations. Rates/ratios appear available, but sampled headers do not show counts or denominators."
employment-rates-in-the-greater-west-of-england-by-sex-and-age-2025,"Employment rates in the Greater West of England by sex and age, 2025",https://www.thebrunelcentre.co.uk/data-hub/employment-rates-in-the-greater-west-of-england-by-sex-and-age-2025,labour-market,employment/labour market; population,"data/labour-market/Employment rates in the Greater West of England by sex and age, 2025","Datahub-data-main/data/labour-market/Employment rates in the Greater West of England by sex and age, 2025",4,4,,"Datahub-data-main/data/labour-market/Employment rates in the Greater West of England by sex and age, 2025/Employment rate trends in the Greater West of England by age group, 2005-2025 .xlsx","Employment rate trends in the Greater West of England by age group, 2005-2025 .xlsx",Metadata; raw_data; analysis_data,yes,analysis_data,yes,raw_data,,yes,raw_data,,Metadata,tabular_unknown_structure,tabular_unknown_structure,Date; Employment rate group; Percent; numerator; denominator; conf,rates/percentages/proportions; numerators; denominators/base; time-series values,age; time/year,no/unclear from sampled headers,yes,no/unclear from sampled headers,fallback - searchable source-row snippets should ingest; targeted parser needed for structured calculations,"Detailed/source-data sheet 'raw_data' is tabular_unknown_structure; it should ingest as searchable row snippets, but targeted parsing is still needed for structured calculations. Rates/ratios appear available, but sampled headers do not show counts or denominators."
employment-rates-in-the-greater-west-of-england-by-sex-and-age-2025,"Employment rates in the Greater West of England by sex and age, 2025",https://www.thebrunelcentre.co.uk/data-hub/employment-rates-in-the-greater-west-of-england-by-sex-and-age-2025,labour-market,employment/labour market; population,"data/labour-market/Employment rates in the Greater West of England by sex and age, 2025","Datahub-data-main/data/labour-market/Employment rates in the Greater West of England by sex and age, 2025",4,4,,"Datahub-data-main/data/labour-market/Employment rates in the Greater West of England by sex and age, 2025/Employment rate trends in the Greater West of England by sex, 2005–2025.xlsx","Employment rate trends in the Greater West of England by sex, 2005–2025.xlsx",Metadata; raw_data; analysis_data,yes,analysis_data,yes,raw_data,,yes,raw_data,,Metadata,tabular_unknown_structure,tabular_unknown_structure,Date; Employment rate group; Percent; numerator; denominator; conf,rates/percentages/proportions; numerators; denominators/base; time-series values,sex/gender; time/year,no/unclear from sampled headers,yes,no/unclear from sampled headers,fallback - searchable source-row snippets should ingest; targeted parser needed for structured calculations,"Detailed/source-data sheet 'raw_data' is tabular_unknown_structure; it should ingest as searchable row snippets, but targeted parsing is still needed for structured calculations. Rates/ratios appear available, but sampled headers do not show counts or denominators."
employment-rates-in-the-greater-west-of-england-by-sex-and-age-2025,"Employment rates in the Greater West of England by sex and age, 2025",https://www.thebrunelcentre.co.uk/data-hub/employment-rates-in-the-greater-west-of-england-by-sex-and-age-2025,labour-market,employment/labour market; population,"data/labour-market/Employment rates in the Greater West of England by sex and age, 2025","Datahub-data-main/data/labour-market/Employment rates in the Greater West of England by sex and age, 2025",4,4,,"Datahub-data-main/data/labour-market/Employment rates in the Greater West of England by sex and age, 2025/Number of people in employment by sex and age in the Greater West of England, 2025.xlsx","Number of people in employment by sex and age in the Greater West of England, 2025.xlsx",Metadata; raw_data; analysis_data,yes,analysis_data,yes,raw_data,,yes,raw_data,,Metadata,tabular_unknown_structure,tabular_unknown_structure,sex; age_group; employment count; numerator; denominator; percent; conf,rates/percentages/proportions; counts/numbers; numerators; denominators/base,age; sex/gender,yes,yes,no/unclear from sampled headers,fallback - searchable source-row snippets should ingest; targeted parser needed for structured calculations,"Detailed/source-data sheet 'raw_data' is tabular_unknown_structure; it should ingest as searchable row snippets, but targeted parsing is still needed for structured calculations."
annual-change-in-greenhouse-gas-emissions-in-the-greater-west-of-england-2022–2023,"Annual change in greenhouse gas emissions in the Greater West of England, 2022–2023",https://www.thebrunelcentre.co.uk/data-hub/annual-change-in-greenhouse-gas-emissions-in-the-greater-west-of-england-2022–2023,environment,environment/energy/emissions,"data/environment/Annual change in greenhouse gas emissions in the Greater West of England, 2022–2023","Datahub-data-main/data/environment/Annual change in greenhouse gas emissions in the Greater West of England, 2022–2023",2,2,,"Datahub-data-main/data/environment/Annual change in greenhouse gas emissions in the Greater West of England, 2022–2023/Annual change in greenhouse gas emissions across local authority areas, 2022 to 2023.xlsx","Annual change in greenhouse gas emissions across local authority areas, 2022 to 2023.xlsx",Metadata; analysis_data,yes,analysis_data,no,,,no,,,Metadata,none detected,none detected,Area; Greenhouse gas; Net change in emissions (Kt C02e) (2022 to 2023),emissions/energy totals,local authority/geography; fuel/energy type,no/unclear from sampled headers,no/unclear from sampled headers,no/unclear from sampled headers,not applicable for raw facts - no detailed/source-data sheet detected; analysis rows still ingest,No detailed/source-data sheet detected; deeper calculation must rely on article/analysis rows or another source.
annual-change-in-greenhouse-gas-emissions-in-the-greater-west-of-england-2022–2023,"Annual change in greenhouse gas emissions in the Greater West of England, 2022–2023",https://www.thebrunelcentre.co.uk/data-hub/annual-change-in-greenhouse-gas-emissions-in-the-greater-west-of-england-2022–2023,environment,environment/energy/emissions; business/industry,"data/environment/Annual change in greenhouse gas emissions in the Greater West of England, 2022–2023","Datahub-data-main/data/environment/Annual change in greenhouse gas emissions in the Greater West of England, 2022–2023",2,2,,"Datahub-data-main/data/environment/Annual change in greenhouse gas emissions in the Greater West of England, 2022–2023/Annual change in greenhouse gas emissions by sector in the Greater West of England, 2022 to 2023.xlsx","Annual change in greenhouse gas emissions by sector in the Greater West of England, 2022 to 2023.xlsx",Metadata; analysis_data,yes,analysis_data,no,,,no,,,Metadata,none detected,none detected,Sector; Greenhouse gas; Net change in emissions (Kt C02e) (2022 to 2023),emissions/energy totals,sector/industry; fuel/energy type,no/unclear from sampled headers,no/unclear from sampled headers,no/unclear from sampled headers,not applicable for raw facts - no detailed/source-data sheet detected; analysis rows still ingest,No detailed/source-data sheet detected; deeper calculation must rely on article/analysis rows or another source.
vacancies-and-skills-gaps-in-the-south-west-of-england-by-sector,Vacancies and skills gaps in the South West of England by sector,https://www.thebrunelcentre.co.uk/data-hub/vacancies-and-skills-gaps-in-the-south-west-of-england-by-sector,labour-market,employment/labour market; business/industry,data/labour-market/Vacancies and skills gaps by industry,Datahub-data-main/data/labour-market/Vacancies and skills gaps by industry,3,3,,"Datahub-data-main/data/labour-market/Vacancies and skills gaps by industry/Employees in the South West with a skills gap (%), by industry, 2022-23.xlsx","Employees in the South West with a skills gap (%), by industry, 2022-23.xlsx",Metadata; Analysis,yes,Analysis,no,,,no,,,Metadata,none detected,none detected,'; South West region employees with a skills gap (%),rates/percentages/proportions,local authority/geography; sector/industry; qualification/skills,no/unclear from sampled headers,no/unclear from sampled headers,no/unclear from sampled headers,not applicable for raw facts - no detailed/source-data sheet detected; analysis rows still ingest,"No detailed/source-data sheet detected; deeper calculation must rely on article/analysis rows or another source. Rates/ratios appear available, but sampled headers do not show counts or denominators."
vacancies-and-skills-gaps-in-the-south-west-of-england-by-sector,Vacancies and skills gaps in the South West of England by sector,https://www.thebrunelcentre.co.uk/data-hub/vacancies-and-skills-gaps-in-the-south-west-of-england-by-sector,labour-market,employment/labour market; business/industry,data/labour-market/Vacancies and skills gaps by industry,Datahub-data-main/data/labour-market/Vacancies and skills gaps by industry,3,3,,"Datahub-data-main/data/labour-market/Vacancies and skills gaps by industry/Establishments in the South West with a skill-shortage vacancy (%) by industry, 2023-24.xlsx","Establishments in the South West with a skill-shortage vacancy (%) by industry, 2023-24.xlsx",Metadata; Analysis,yes,Analysis,no,,,no,,,Metadata,none detected,none detected,'; Establishments with a skill-shortage vacancy (%); Establishments with a hard-to-fill vacancy (%),rates/percentages/proportions,age; sector/industry; qualification/skills,no/unclear from sampled headers,no/unclear from sampled headers,no/unclear from sampled headers,not applicable for raw facts - no detailed/source-data sheet detected; analysis rows still ingest,"No detailed/source-data sheet detected; deeper calculation must rely on article/analysis rows or another source. Rates/ratios appear available, but sampled headers do not show counts or denominators."
vacancies-and-skills-gaps-in-the-south-west-of-england-by-sector,Vacancies and skills gaps in the South West of England by sector,https://www.thebrunelcentre.co.uk/data-hub/vacancies-and-skills-gaps-in-the-south-west-of-england-by-sector,labour-market,employment/labour market; business/industry,data/labour-market/Vacancies and skills gaps by industry,Datahub-data-main/data/labour-market/Vacancies and skills gaps by industry,3,3,,"Datahub-data-main/data/labour-market/Vacancies and skills gaps by industry/Establishments in the South West with at least one skills gap (%), by industry, 2022-23.xlsx","Establishments in the South West with at least one skills gap (%), by industry, 2022-23.xlsx",Metadata; Analysis,yes,Analysis,no,,,no,,,Metadata,none detected,none detected,'; South West region establishments with a skills gap (%),rates/percentages/proportions,local authority/geography; sector/industry; qualification/skills,no/unclear from sampled headers,no/unclear from sampled headers,no/unclear from sampled headers,not applicable for raw facts - no detailed/source-data sheet detected; analysis rows still ingest,"No detailed/source-data sheet detected; deeper calculation must rely on article/analysis rows or another source. Rates/ratios appear available, but sampled headers do not show counts or denominators."
skills-gaps-in-the-south-west-of-england,Skills gaps in the South West of England,https://www.thebrunelcentre.co.uk/data-hub/skills-gaps-in-the-south-west-of-england,labour-market,employment/labour market,data/labour-market/Skills gaps,Datahub-data-main/data/labour-market/Skills gaps,3,3,,"Datahub-data-main/data/labour-market/Skills gaps/Employees and establishments in the South West with a skills gap (%), 2011 onwards.xlsx","Employees and establishments in the South West with a skills gap (%), 2011 onwards.xlsx",Metadata; Analysis,yes,Analysis,no,,,no,,,Metadata,none detected,none detected,Report type; 2011; 2013; 2015; 2017; 2019; 2022; 2024,rates/percentages/proportions,qualification/skills,no/unclear from sampled headers,no/unclear from sampled headers,no/unclear from sampled headers,not applicable for raw facts - no detailed/source-data sheet detected; analysis rows still ingest,"No detailed/source-data sheet detected; deeper calculation must rely on article/analysis rows or another source. Rates/ratios appear available, but sampled headers do not show counts or denominators."
skills-gaps-in-the-south-west-of-england,Skills gaps in the South West of England,https://www.thebrunelcentre.co.uk/data-hub/skills-gaps-in-the-south-west-of-england,labour-market,employment/labour market,data/labour-market/Skills gaps,Datahub-data-main/data/labour-market/Skills gaps,3,3,,"Datahub-data-main/data/labour-market/Skills gaps/Employees with a skills gap (%), South West, UK comparison, 2022-23.xlsx","Employees with a skills gap (%), South West, UK comparison, 2022-23.xlsx",Metadata; Analysis,yes,Analysis,no,,,no,,,Metadata,none detected,none detected,Area; Employees with a skills gap (%),rates/percentages/proportions,local authority/geography; qualification/skills,no/unclear from sampled headers,no/unclear from sampled headers,no/unclear from sampled headers,not applicable for raw facts - no detailed/source-data sheet detected; analysis rows still ingest,"No detailed/source-data sheet detected; deeper calculation must rely on article/analysis rows or another source. Rates/ratios appear available, but sampled headers do not show counts or denominators."
skills-gaps-in-the-south-west-of-england,Skills gaps in the South West of England,https://www.thebrunelcentre.co.uk/data-hub/skills-gaps-in-the-south-west-of-england,labour-market,employment/labour market,data/labour-market/Skills gaps,Datahub-data-main/data/labour-market/Skills gaps,3,3,,"Datahub-data-main/data/labour-market/Skills gaps/Establishments with at least one skills gap (%), South West, England comparison, 2022-23.xlsx","Establishments with at least one skills gap (%), South West, England comparison, 2022-23.xlsx",Metadata; Analysis,yes,Analysis,no,,,no,,,Metadata,none detected,none detected,Area; Establishments with at least one skill gap (%),rates/percentages/proportions,local authority/geography; qualification/skills,no/unclear from sampled headers,no/unclear from sampled headers,no/unclear from sampled headers,not applicable for raw facts - no detailed/source-data sheet detected; analysis rows still ingest,"No detailed/source-data sheet detected; deeper calculation must rely on article/analysis rows or another source. Rates/ratios appear available, but sampled headers do not show counts or denominators."
skill-shortage-vacancies-in-the-south-west-of-england,Skill-shortage vacancies in the South West of England,https://www.thebrunelcentre.co.uk/data-hub/skill-shortage-vacancies-in-the-south-west-of-england,labour-market,employment/labour market,data/labour-market/Skill-shortage vacancies,Datahub-data-main/data/labour-market/Skill-shortage vacancies,4,4,,"Datahub-data-main/data/labour-market/Skill-shortage vacancies/Establishments in the South West with a vacancy (%) by type, 2022-23.xlsx","Establishments in the South West with a vacancy (%) by type, 2022-23.xlsx",Metadata; Analysis,yes,Analysis,no,,,no,,,Metadata,none detected,none detected,Area; Establishments with a skill-shortage vacancy (%); Establishments with a hard-to-fill vacancy (%); Establishments with any type of vacancy (%),rates/percentages/proportions,local authority/geography; age; qualification/skills,no/unclear from sampled headers,no/unclear from sampled headers,no/unclear from sampled headers,not applicable for raw facts - no detailed/source-data sheet detected; analysis rows still ingest,"No detailed/source-data sheet detected; deeper calculation must rely on article/analysis rows or another source. Rates/ratios appear available, but sampled headers do not show counts or denominators."
skill-shortage-vacancies-in-the-south-west-of-england,Skill-shortage vacancies in the South West of England,https://www.thebrunelcentre.co.uk/data-hub/skill-shortage-vacancies-in-the-south-west-of-england,labour-market,employment/labour market,data/labour-market/Skill-shortage vacancies,Datahub-data-main/data/labour-market/Skill-shortage vacancies,4,4,,"Datahub-data-main/data/labour-market/Skill-shortage vacancies/Establishments with a vacancy (%), by type, SW region (2011 onwards).xlsx","Establishments with a vacancy (%), by type, SW region (2011 onwards).xlsx",Metadata; Analysis,yes,Analysis,no,,,no,,,Metadata,none detected,none detected,Type; 2011; 2013; 2015; 2017; 2019; 2022; 2024,rates/percentages/proportions,local authority/geography,no/unclear from sampled headers,no/unclear from sampled headers,no/unclear from sampled headers,not applicable for raw facts - no detailed/source-data sheet detected; analysis rows still ingest,"No detailed/source-data sheet detected; deeper calculation must rely on article/analysis rows or another source. Rates/ratios appear available, but sampled headers do not show counts or denominators."
skill-shortage-vacancies-in-the-south-west-of-england,Skill-shortage vacancies in the South West of England,https://www.thebrunelcentre.co.uk/data-hub/skill-shortage-vacancies-in-the-south-west-of-england,labour-market,employment/labour market,data/labour-market/Skill-shortage vacancies,Datahub-data-main/data/labour-market/Skill-shortage vacancies,4,4,,"Datahub-data-main/data/labour-market/Skill-shortage vacancies/Vacancies by type (%), South West region, 2022-23.xlsx","Vacancies by type (%), South West region, 2022-23.xlsx",Metadata; Analysis,yes,Analysis,no,,,no,,,Metadata,none detected,none detected,Area; Skill-shortage vacancies (%); Other hard-to-fill vacancies (%); Other vacancies (%),rates/percentages/proportions; confidence intervals,local authority/geography; age; qualification/skills,no/unclear from sampled headers,no/unclear from sampled headers,yes,not applicable for raw facts - no detailed/source-data sheet detected; analysis rows still ingest,"No detailed/source-data sheet detected; deeper calculation must rely on article/analysis rows or another source. Rates/ratios appear available, but sampled headers do not show counts or denominators."
skill-shortage-vacancies-in-the-south-west-of-england,Skill-shortage vacancies in the South West of England,https://www.thebrunelcentre.co.uk/data-hub/skill-shortage-vacancies-in-the-south-west-of-england,labour-market,employment/labour market,data/labour-market/Skill-shortage vacancies,Datahub-data-main/data/labour-market/Skill-shortage vacancies,4,4,,"Datahub-data-main/data/labour-market/Skill-shortage vacancies/Vacancies by type, South West region, 2011 onwards.xlsx","Vacancies by type, South West region, 2011 onwards.xlsx",Metadata; Analysis,yes,Analysis,no,,,no,,,Metadata,none detected,none detected,Type; 2011; 2013; 2015; 2017; 2019; 2022; 2024,confidence intervals,local authority/geography,no/unclear from sampled headers,no/unclear from sampled headers,no/unclear from sampled headers,not applicable for raw facts - no detailed/source-data sheet detected; analysis rows still ingest,No detailed/source-data sheet detected; deeper calculation must rely on article/analysis rows or another source.
land-use-within-the-greater-west-of-england,Land use within the Greater West of England,https://www.thebrunelcentre.co.uk/data-hub/land-use-within-the-greater-west-of-england,housing-and-land-use,housing,data/housing-and-land-use/Land use within the Greater West of England,Datahub-data-main/data/housing-and-land-use/Land use within the Greater West of England,4,4,,"Datahub-data-main/data/housing-and-land-use/Land use within the Greater West of England/Developed, non-developed and vacant land (hectares) in the Greater West of England.xlsx","Developed, non-developed and vacant land (hectares) in the Greater West of England.xlsx",Metadata; Analysis,yes,Analysis,no,,,no,,,Metadata,none detected,none detected,'; Developed Use; Non-developed Use; Vacant,,,no/unclear from sampled headers,no/unclear from sampled headers,no/unclear from sampled headers,not applicable for raw facts - no detailed/source-data sheet detected; analysis rows still ingest,No detailed/source-data sheet detected; deeper calculation must rely on article/analysis rows or another source.
land-use-within-the-greater-west-of-england,Land use within the Greater West of England,https://www.thebrunelcentre.co.uk/data-hub/land-use-within-the-greater-west-of-england,housing-and-land-use,housing,data/housing-and-land-use/Land use within the Greater West of England,Datahub-data-main/data/housing-and-land-use/Land use within the Greater West of England,4,4,,"Datahub-data-main/data/housing-and-land-use/Land use within the Greater West of England/Greater West of England land use; natural land, forestry, rough grassland, excluding water (%).xlsx","Greater West of England land use; natural land, forestry, rough grassland, excluding water (%).xlsx",Metadata; Analysis,yes,Analysis,no,,,no,,,Metadata,none detected,none detected,'; Forestry and woodland; Natural land; Rough grassland; Other,rates/percentages/proportions,,no/unclear from sampled headers,no/unclear from sampled headers,no/unclear from sampled headers,not applicable for raw facts - no detailed/source-data sheet detected; analysis rows still ingest,"No detailed/source-data sheet detected; deeper calculation must rely on article/analysis rows or another source. Rates/ratios appear available, but sampled headers do not show counts or denominators."
land-use-within-the-greater-west-of-england,Land use within the Greater West of England,https://www.thebrunelcentre.co.uk/data-hub/land-use-within-the-greater-west-of-england,housing-and-land-use,housing,data/housing-and-land-use/Land use within the Greater West of England,Datahub-data-main/data/housing-and-land-use/Land use within the Greater West of England,4,4,,"Datahub-data-main/data/housing-and-land-use/Land use within the Greater West of England/Land use by type, excluding water (%) in the Greater West of England, geographical comparisons.xlsx","Land use by type, excluding water (%) in the Greater West of England, geographical comparisons.xlsx",Metadata; Analysis,yes,Analysis,no,,,no,,,Metadata,none detected,none detected,'; Developed Use (%); Agriculture (%); Natural Land (%); Forestry and Woodland (%); Rough grassland (%); Residential Gardens (%); Outdoor recreation (%); Undeveloped urban or vacant (%),rates/percentages/proportions,,no/unclear from sampled headers,no/unclear from sampled headers,no/unclear from sampled headers,not applicable for raw facts - no detailed/source-data sheet detected; analysis rows still ingest,"No detailed/source-data sheet detected; deeper calculation must rely on article/analysis rows or another source. Rates/ratios appear available, but sampled headers do not show counts or denominators."
land-use-within-the-greater-west-of-england,Land use within the Greater West of England,https://www.thebrunelcentre.co.uk/data-hub/land-use-within-the-greater-west-of-england,housing-and-land-use,housing,data/housing-and-land-use/Land use within the Greater West of England,Datahub-data-main/data/housing-and-land-use/Land use within the Greater West of England,4,4,,"Datahub-data-main/data/housing-and-land-use/Land use within the Greater West of England/Land use by type, excluding water (%), Greater West of England parliamentary constituencies.xlsx","Land use by type, excluding water (%), Greater West of England parliamentary constituencies.xlsx",Metadata; Analysis,yes,Analysis,no,,,no,,,Metadata,none detected,none detected,'; Developed Use (%); Agriculture (%); Natural Land (%); Forestry and Woodland (%); Rough grassland (%); Residential Gardens (%); Outdoor recreation (%); Undeveloped urban or vacant (%),rates/percentages/proportions; confidence intervals,,no/unclear from sampled headers,no/unclear from sampled headers,no/unclear from sampled headers,not applicable for raw facts - no detailed/source-data sheet detected; analysis rows still ingest,"No detailed/source-data sheet detected; deeper calculation must rely on article/analysis rows or another source. Rates/ratios appear available, but sampled headers do not show counts or denominators."
